date,power
10-08-18 3:00,202303.67
10-08-18 3:15,215820.84
10-08-18 3:30,228930.42
10-08-18 3:45,233371.12
10-08-18 4:00,232354.53
10-08-18 4:15,238146.27
10-08-18 4:30,231561
10-08-18 4:45,231216.72
10-08-18 5:00,311087.25
10-08-18 5:15,384950.7
10-08-18 5:30,398601.78
10-08-18 5:45,343023.75
10-08-18 6:00,345172.72
10-08-18 6:15,338769.1
10-08-18 6:30,381520.2
10-08-18 6:45,350572.3
10-08-18 7:00,448605.4
10-08-18 7:15,472635.75
10-08-18 7:30,486346.22
10-08-18 7:45,487913.6
10-08-18 8:00,514966.88
10-08-18 8:15,566871.6
10-08-18 8:30,598551.7
10-08-18 8:45,609206.2
10-08-18 9:00,650094.56
10-08-18 9:15,665381.56
10-08-18 9:30,611933.9
10-08-18 9:45,614615.1
10-08-18 10:00,642684.94
10-08-18 10:15,627319.06
10-08-18 10:30,623378.8
10-08-18 10:45,636999.7
10-08-18 11:00,636357.56
10-08-18 11:15,667163
10-08-18 11:30,621388.2
10-08-18 11:45,664412.6
10-08-18 12:00,607831.25
10-08-18 12:15,616960.8
10-08-18 12:30,627209.1
10-08-18 12:45,669799.44
10-08-18 13:00,607176.7
10-08-18 13:15,589125.5
10-08-18 13:30,565778.6
10-08-18 13:45,574205.44
10-08-18 14:00,573967.94
10-08-18 14:15,581197.44
10-08-18 14:30,590951.9
10-08-18 14:45,574767.5
10-08-18 15:00,569028.75
10-08-18 15:15,559792.5
10-08-18 15:30,522960.25
10-08-18 15:45,533934.7
10-08-18 16:00,550130.4
10-08-18 16:15,583083.6
10-08-18 16:30,525559.7
10-08-18 16:45,523102
10-08-18 17:00,463083.88
10-08-18 17:15,458209.88
10-08-18 17:30,472004.38
10-08-18 17:45,519432.9
10-08-18 18:00,454962.44
10-08-18 18:15,451067.84
10-08-18 18:30,417801.78
10-08-18 18:45,404302.7
10-08-18 19:00,353858.53
10-08-18 19:15,310287.22
10-08-18 19:30,309474.44
10-08-18 19:45,314167.88
